Age;VRExperience;width;height;fov;fps;antialiasing;textures;saturation;brightness;contrast;sharpness;shadowStrength;reflections;modelsDetail;dof;particles;ambientSound;reverbZone;won;zombiesKilled;time;VisualImmersion
25;2;2012.224;1117.902;57;34;0;0;-0.5453241;0.3928531;-0.5249872;0.052845;0.9242058;1;1;1;0;1;0;1;41;90;75
25;2;1359.288;755.1603;57;51;1;1;-0.7559266;0.03832424;-0.7178702;0.3548982;0.5323591;0;0;1;1;1;1;1;43;90;81
26;2;768.4883;426.9379;79;44;0;1;0.4551725;-0.1880164;0.4797754;0.02977276;0.07375681;1;0;0;1;1;1;0;25;73;100
26;2;2147.003;1192.78;75;56;0;0;-0.6433635;-0.5696003;-0.6603747;0.1511199;0.2270758;1;1;1;1;1;1;0;10;50;40
26;2;1859.426;1033.014;47;38;1;1;-0.2472659;0.4082708;0.3001604;0.7197858;0.82441;1;1;1;0;1;1;0;19;69;83
26;2;400.2826;222.3792;78;26;1;0;0.1691226;-0.01462698;-0.7025419;0.4717571;0.9675356;1;1;0;0;1;0;0;18;65;91
26;2;1942.094;1078.941;31;55;0;0;0.08516514;0.2416883;-0.5413223;0.6362662;0.254007;0;0;1;0;1;1;1;39;90;100
26;2;1338.217;743.454;63;60;0;0;-0.6769135;0.5948498;-0.5430261;0.2266954;0.9437325;1;1;1;1;1;0;1;41;90;58
26;2;305.6852;169.8251;97;39;1;0;-0.1790904;-0.008872867;-0.7633328;0.6274408;0.1870201;0;1;1;1;1;0;0;25;75;38
26;2;1441.953;801.0852;53;17;0;0;0.5830421;-0.1732322;-0.7943969;0.04157233;0.8049105;0;1;0;1;1;0;0;31;84;14
26;2;366.0371;203.3539;58;36;0;1;0.7920334;-0.02498084;-0.02278376;0.7885898;0.5920722;0;1;1;1;1;0;1;43;90;63
26;2;720.2172;400.1207;86;21;0;0;-0.691709;-0.2147332;-0.3823176;0.5782167;0.6579818;1;0;0;1;1;0;0;12;47;12
26;2;416.3874;231.3263;65;53;0;0;-0.4117411;0.6290202;0.2218992;0.8305287;0.9863043;0;1;1;1;1;0;0;9;44;24
25;1;715.8486;397.6937;42;57;0;0;0.1356882;-0.2646878;-0.444387;0.8058308;0.3269777;0;1;1;1;1;1;0;5;36;71
25;1;1865.631;1036.462;70;39;1;1;-0.9262671;0.1517895;-0.5192141;0.6453466;0.4584761;1;0;1;1;1;1;0;2;27;86
25;1;458.8209;254.9005;42;17;0;1;0.5309238;-0.5937416;-0.4662254;0.2681721;0.0956192;1;0;1;1;1;1;0;33;85;91
25;1;873.3502;485.1945;76;38;0;1;0.5106359;-0.3024282;-0.782959;0.07188821;0.4532303;1;0;1;0;1;0;0;32;81;96
25;1;1413.683;785.3794;87;18;1;0;0.1012043;-0.7923881;0.3541006;0.6413219;0.304069;0;0;0;1;1;1;0;32;82;87
25;1;978.8278;543.7932;80;59;1;1;-0.478614;-0.5181718;-0.2036301;0.4417399;0.2739844;1;0;1;0;1;0;1;41;90;100
25;1;2154.911;1197.173;41;44;0;1;0.4540789;-0.3614978;-0.5237709;0.7761375;0.5932804;1;0;1;0;1;1;1;45;90;100
25;1;1594.587;885.8817;99;36;1;1;0.8625515;0.6353416;-0.4297228;0.6988949;0.8150274;1;1;0;1;1;1;1;40;90;95
25;1;1693.35;940.7498;76;42;1;0;0.8586676;0.5096483;0.6158751;0.1126319;0.242596;1;0;1;0;1;1;1;41;90;78
18;1;1981.384;1100.769;43;52;1;0;0.4692328;-0.6445795;0.1206485;0.7038959;0.8689158;0;1;0;0;1;1;0;1;26;85
18;1;1027.896;571.0534;42;25;0;1;-0.840086;-0.2371701;-0.4369944;0.7932742;0.4966639;0;1;0;1;1;1;0;8;46;86
18;1;1490.07;827.8165;74;49;0;0;0.04271305;-0.6266108;-0.2066112;0.3409865;0.4679294;1;1;0;1;1;1;0;19;69;93
18;1;693.6452;385.3584;73;34;1;0;-0.04405367;0.7514554;-0.1092639;0.542579;0.7405142;1;0;1;0;1;0;1;41;90;95
18;1;1453.014;807.23;31;25;0;0;0.3075468;-0.3594974;-0.02464819;0.4896875;0.339146;0;0;1;0;1;0;0;26;75;89
18;1;478.1749;265.6527;93;26;1;1;0.8658214;0.6358593;-0.3507066;0.6194853;0.0185672;0;0;0;1;1;1;1;41;90;89
18;1;230.6415;128.1342;72;28;1;0;0.4812681;-0.4599958;0.3944324;0.1454608;0.2783936;0;0;0;1;1;1;0;7;44;70
18;1;1816.719;1009.288;56;27;1;1;-0.4169356;-0.2084296;0.7863409;0.3899142;0.04604733;0;0;0;1;1;1;1;40;90;90
18;1;1818.724;1010.402;63;37;1;0;0.2249638;0.56278;-0.6419911;0.2998;0.1658974;0;1;0;1;1;0;0;6;40;80
19;1;1961.888;1089.938;33;38;1;0;-0.7263575;0.4889767;0.1354834;0.2836959;0.8259156;1;1;1;1;1;0;0;4;38;42
19;1;848.3993;471.3329;33;25;1;1;-0.6145153;-0.6537651;0.3476351;0.5041265;0.860538;0;0;1;0;1;1;1;41;90;86
19;1;405.2458;225.1366;50;59;1;1;0.2433013;0.2764017;0.3537332;0.8578879;0.8276839;0;1;1;1;1;0;0;25;73;73
19;1;864.7346;480.4081;60;53;1;1;-0.5914135;0.4775141;0.52223;0.4325169;0.6096699;1;0;0;0;1;0;1;42;90;69
19;1;1890.265;1050.147;66;22;0;0;0.3307478;-0.3618308;-0.03306663;0.5962591;0.4697546;1;0;0;1;1;0;0;28;77;83
19;1;646.0693;358.9274;97;37;0;0;0.8048279;-0.7052626;0.6865305;0.7047608;0.08731782;1;0;0;1;1;0;1;40;90;47
19;1;1181.122;656.1791;45;43;1;0;0.2343165;-0.4747713;-0.1705343;0.3345802;0.3543875;1;1;0;1;1;1;0;35;88;38
19;1;556.5116;309.1731;63;34;0;1;-0.6670206;-0.1492105;0.02422076;0.8338436;0.5334099;1;0;1;0;1;0;1;39;90;82
38;2;1696.488;942.4933;97;53;1;1;-0.8653538;0.5622837;0.5567291;0.6153993;0.2106214;1;1;0;0;1;0;0;5;33;50
38;2;1298.782;721.5454;93;47;0;1;-0.6967285;0.06285924;0.5134121;0.2685937;0.4782497;0;0;0;0;1;1;0;36;87;78
38;2;433.8318;241.0177;36;31;1;0;-0.1234797;-0.568231;0.02109939;0.09899604;0.0901643;1;1;0;0;1;1;0;34;87;47
38;2;1629.831;905.4614;59;30;0;1;0.4656338;0.1942515;-0.6115422;0.9875339;0.7854652;0;0;0;1;1;0;1;45;90;79
38;2;1908.332;1060.184;51;53;1;0;-0.8582182;-4.184246E-05;0.7104087;0.4163036;0.6444999;1;1;0;0;1;1;1;40;90;55
38;2;1010.582;561.4346;54;42;1;0;-0.5876086;-0.402083;-0.60842;0.773123;0.2875378;1;0;0;1;1;1;0;32;81;68
27;3;1274.239;707.9105;86;46;1;1;-0.7319269;0.7135186;0.488851;0.8321754;0.2702454;1;1;1;1;1;0;0;15;56;86
27;3;1811.6;1006.445;54;32;1;0;0.4986119;0.5691895;0.5364984;0.8424054;0.9784864;0;0;0;1;1;0;1;42;90;57
27;3;905.3214;502.9563;88;17;0;0;0.2410682;0.5994881;0.2320634;0.4909332;0.3459371;1;1;0;1;1;0;1;44;90;52
27;3;929.0134;516.1185;99;24;1;0;-0.5711951;-0.1975667;-0.2069949;0.6277632;0.4562793;1;1;1;1;1;0;0;20;65;49
3;27;1087.267;604.0371;69;34;1;0;-0.3343045;-0.1335883;-0.324686;0.5354323;0.04276168;1;1;0;0;1;1;1;42;90;40
3;27;222.7361;123.7423;94;17;1;1;-0.6974084;0.009547532;-0.4547792;0.1605563;0.518687;0;0;1;1;1;0;1;42;90;32
3;27;363.5993;201.9996;37;35;1;0;0.6847472;-0.2253337;0.2896371;0.6421795;0.1073624;1;0;1;0;1;1;1;41;90;37
33;5;1054.656;585.92;31;33;0;1;-0.7397616;-0.1468636;0.1579614;0.9460559;0.5811047;1;1;1;1;1;0;1;43;90;74
20;1;297.8926;165.4959;34;29;1;1;0.4078123;-0.5746929;-0.02612543;0.9095377;0.6185935;1;1;1;1;1;0;0;24;78;28
20;1;373.4753;207.4863;65;16;1;0;0.7234871;-0.2286557;0.5734686;0.04976809;0.00711;1;1;1;0;1;1;0;1;31;16
20;1;646.7277;359.2932;96;46;1;0;0.6178207;0.6503406;0.6869743;0.4939178;0.3235721;1;1;0;1;1;1;1;38;90;46
20;1;573.7616;318.7564;33;50;0;1;-0.7146924;-0.2059129;0.09562767;0.445895;0.7078733;1;1;0;0;1;1;1;41;90;68
20;1;826.2241;459.0134;33;54;0;0;-0.3808664;0.7669927;0.7280663;0.2504786;0.5215855;0;1;0;1;1;1;1;40;90;59
20;1;785.673;436.485;56;43;1;1;-0.2964464;-0.3846627;-0.2212148;0.1360232;0.2995732;1;1;0;0;1;1;1;42;90;84
20;1;970.9194;539.3997;48;19;0;1;-0.4186739;-0.1550156;-0.0380891;0.7615381;0.6740487;1;1;0;1;1;1;0;18;59;100
47;1;477.4889;265.2716;47;30;0;0;-0.05219352;0.1229625;-0.3670394;0.2189221;0.04785204;1;0;0;0;1;1;0;10;48;82
47;1;843.7257;468.7365;78;51;1;1;0.8861806;0.4453831;-0.400717;0.5182435;0.9631648;0;1;0;0;1;0;0;14;57;93
47;1;1680.934;933.8525;60;56;0;1;-0.09695995;-0.6109734;-0.5987324;0.9743618;0.5060665;0;0;1;0;1;1;0;22;66;99
47;1;418.5875;232.5486;41;26;1;1;0.5699842;0.3800924;-0.1330093;0.5449921;0.08191943;1;0;1;0;1;1;0;32;85;100
20;1;743.8021;413.2234;88;52;1;0;0.6269655;-0.03371799;-0.4353123;0.9302981;0.2177147;1;1;0;1;1;0;0;7;49;35
20;1;1353.932;752.1845;37;24;0;0;0.4815833;0.3157327;-0.4311137;0.888119;0.2940016;0;1;0;0;1;0;0;3;27;49
20;1;538.1585;298.9769;33;51;0;0;0.2341574;0.1673331;0.3736406;0.1852384;0.6332926;1;0;1;1;1;1;1;42;90;94
20;1;451.3354;250.7419;67;25;0;1;-0.4497637;-0.2984141;0.2563024;0.8718055;0.9074743;1;0;1;0;1;0;1;37;90;100
20;1;764.8124;424.8958;67;30;1;1;0.5394983;0.5998003;0.478899;0.493821;0.5032266;1;0;1;1;1;0;0;27;81;100
20;1;1331.776;739.8756;81;53;0;1;-0.2487038;-0.4372481;-0.3230782;0.8908978;0.1950949;0;1;1;1;1;1;0;9;46;100
20;1;363.3548;201.8638;31;42;1;1;-0.03295934;-0.4586937;-0.7092486;0.6972493;0.9846029;1;0;0;1;1;0;1;42;90;100
20;2;602.9832;334.9907;74;57;0;1;0.8547494;-0.04735309;0.3580673;0.4804208;0.9074192;0;0;0;1;1;1;1;35;90;60
20;2;1256.722;698.1788;78;26;1;1;-0.8502223;0.3657011;0.2898293;0.07705021;0.7527016;1;1;1;0;1;0;0;24;75;65
20;2;1172.662;651.479;96;53;0;1;0.3232083;-0.62717;0.3199003;0.5764458;0.9082644;1;1;1;1;1;0;0;29;81;78
